Value,Count,Percentage (%)
pcbo-linux-x86_64-static,1,"2,04"
xml,4,"8,16"
pdf,11,"22,45"
pcbo-linux-sparc64-static,1,"2,04"
DS_Store,2,"4,08"
csv,1,"2,04"
Makefile,1,"2,04"
exe,1,"2,04"
note,1,"2,04"
pcbo,1,"2,04"
7,1,"2,04"
dat,1,"2,04"
pptx,1,"2,04"
dir,7,"14,29"
gitignore,1,"2,04"
png,4,"8,16"
txt,1,"2,04"
localized,1,"2,04"
iml,1,"2,04"
html,1,"2,04"
torrent,1,"2,04"
zip,1,"2,04"
pcbo-linux-i686-static,1,"2,04"
c,1,"2,04"
docx,1,"2,04"
COPYRIGHT,1,"2,04"
